1	Shaikh-Abdullah-flat	Al-Zaman : American forces killed Shaikh Abdullah al-Ani, the preacher at the mosque in the town of Qaim, near the Syrian border.
3	busted-up-compound	DPA: Iraqi authorities announced that they had busted up 3 terrorist cells operating in Baghdad.
5	FBI-US-compound,J.-Edgar-flat,bombers-Weathermen-compound	The MoI in Iraq is equivalent to the US FBI, so this would be like having J. Edgar Hoover unwittingly employ at a high level members of the Weathermen bombers back in the 1960s.
6	firm-investment-compound	The third was being run by the head of an investment firm.
7	targets-bombing-compound	You wonder if he was manipulating the market with his bombing targets.
9	breaking-up-compound,cells-terror-compound	Although the announcement was probably made to show progress in identifying and breaking up terror cells, I don't find the news that the Baathists continue to penetrate the Iraqi government very hopeful.
10	officers-ARVN-compound	It reminds me too much of the ARVN officers who were secretly working for the other side in Vietnam.
11	Party-Democratic-compound	Al-Zaman : Guerrillas killed a member of the Kurdistan Democratic Party after kidnapping him in Mosul.
12	commander-police-compound,Province-Ninevah-compound	The police commander of Ninevah Province announced that bombings had declined 80 percent in Mosul, whereas there had been a big jump in the number of kidnappings.
14	Province-Kut-compound,bombs-car-compound	In Suwayrah, Kut Province, two car bombs were discovered before they could be detonated.
15	saboteurs-Baathist-compound	(Kut is in southeastern Iraq and has an overwhelmingly Shiite population, who are on the lookout for Baathist saboteurs and willingly turn them in.
16	as-opposed-fixed	This willingness is the main difference in the number of bombings in the south as opposed to the center-north of the country.)
17	Kadhim-Talal-flat,University-Mustansiriyah-compound,district-Salikh-compound	In Baghdad Kadhim Talal Husain, assistant dean at the School of Education at Mustansiriyah University, was assassinated with his driver in the Salikh district.
18	Asi-Ali-flat	Guerrillas killed an engineer, Asi Ali, from Tikrit.
19	Shaikh-Hamid-flat,elder-clan-compound,tribe-Dulaim-compound	They also killed Shaikh Hamid 'Akkab, a clan elder of a branch of the Dulaim tribe in Tikrit.
21	leaders-Dulaim-compound	Two other Dulaim leaders have been killed in the past week and a half.
23	Jubur-tribe-flat,commander-deputy-compound,garrison-Hawijah-compound	One of them was from the Jubur tribe and was deputy commander of the Hawijah garrison.
24	hundred-Two-compound,Batawi-clan-flat,elder-clan-compound,Shaikh-Kadhim-flat,uniforms-army-compound	Two hundred members of the Batawi clan of the Dulaim demonstrated in Baghdad on Friday, protesting the killing of their clan elder, Shaikh Kadhim Sarhid and 4 of his sons, by gunmen wearing Iraqi army uniforms.
25	Batawi-leaders-flat	(This is a largely Sunni Arab clan, and some Sunni observers have accused Shiite elements in the government of being behind the assassination; it is more likely the work of Sunni Arab guerrillas punishing the Batawi leaders for cooperating with the Dec. 15 elections.)
