16	Walter-Damrosch-flat	当时他对巴黎这个法国首都兴奋不已,并决定将各种印象和想像化成音乐作为表达;他在巴黎谱写此乐曲,在一次前往维也纳行程的途中进行配器工作,首演则在纽约,于1928年12月31日由瓦德·丹路殊(Walter Damrosch)指挥纽约爱乐演出.
31	The-Bellagio-flat	该组织的前身,是1963年由奥地利裔美国经济学家弗里茨·马赫卢普创立的The Bellagio Group;目的是为了探求解决国际货币体系问题的方案,特别是1960年代美国所面临的国际收支危机.
131	John-Steinbeck-flat	他早期的弟子约翰·史坦贝克四世(John Steinbeck IV)与他的妻子,指出他除了酗酒之外,还有吸食古柯碱的习惯,并经常服用司可巴比妥(Secobarbital)来镇静古柯碱造成的过度兴奋,一年要花费四万元美金.
210	Dark-and-flat	梅莉迪丝不但从五岁就失去父亲,同时也得不到母亲的注意与喜爱,她自称她的悲惨童年造就了她现在的阴暗且扭曲的性格(Dark and Twisty).
219	Iron-Man-flat	另外,在1982年至1998年造出的2,632场连续出赛是目前大联盟的记录,因而被称为铁人(Iron Man).
243	double-asteroid-flat	而小行星所带的卫星和其大小相近时则会用另一个术语----双小行星(double asteroid).
255	Cerro-El-flat	Barros在Cerro El Roble发现了此行星.
288	Steven-Bronfenbrenner-flat	Steven Bronfenbrenner,在加州三藩市一个公司负责艺术行政工作.
327	Robert-Sheegog-flat	这座别墅最初由Robert Sheegog于1840年代建造,建好后约有2500平方英尺,门厅占450平方英尺.
358	Viktor-Sarianidi-flat	巴克特里亚·马尔吉阿纳文明体的遗址是由苏联考古学家维克托·萨瑞阿尼迪(Viktor Sarianidi)在1976年发现,并予以命名.
372	Theodor-Lotz-flat	巴塞单簧管于1788年由维也纳宫廷乐师西奥多‧洛兹(Theodor Lotz)所研发.
416	West-End-flat	1999年,West End City Center购物中心在西站广场开业.
432	Park-County-flat	帕克县(Park County,Montana)是位于美国蒙大拿州西南部的一个县,南邻怀俄明州.
436	Greater-India-flat	此传统应该是在公元6世纪由圣人商羯罗开创,表面上是为了停止寺庙中很普遍的人祭,实际上是通过鼓励文化交流使大印度(Greater India)思想得到传播,使印度达到统一.
475	Phil-Spector-flat	1973年12月,蓝侬与菲尔·斯佩克特(Phil Spector)合作录制一张老式摇滚专辑,在酒精的作用下,音乐有了传奇性色彩.
477	Pangjiabu-Railway-flat	庞家堡站(Pangjiabu Railway Station)是位于中国河北省张家口市宣化区庞家堡镇的一个火车站,是宣庞铁路的终点站.
480	Harvey-Cushing-flat	此项疾病最早是由美国神经外科医生库欣(Harvey Cushing)于1932年首先描述,他同时也是一位外科学和内分泌学家.
482	Cornell-University-flat	康乃尔大学(英文:Cornell University)是一所位于美国纽约州绮色佳的私立研究型大学,另有两所分校位于纽约市和卡达教育城,是著名的常春藤盟校成员.
